"Source:","/Users/ikellymo/Documents/Projects/Project 13 - Switch boxes/BBB Card/BBB Card.sch"
"Date:","Monday, July 09, 2018 'PMt' 06:24:18 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BB_P8","Conn_02x23_Odd_Even","conn:Conn_02x23_Odd_Even","Pin_Headers:Pin_Header_Straight_2x23_Pitch2.54mm",""
"","","BB_P9","Conn_02x23_Odd_Even","conn:Conn_02x23_Odd_Even","Pin_Headers:Pin_Header_Straight_2x23_Pitch2.54mm",""
"","","C1","2.2uF","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"","","C2","1uF","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"","","C3","3300pF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C4","22uF","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"","","C7","DNP","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"","","C8","DNP","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"","","C9","DNP","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C10","DNP","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"","","C19","47uF","device:CP","Capacitors_SMD:CP_Elec_6.3x4.5",""
"","","C24","47uF","device:CP","Capacitors_SMD:CP_Elec_6.3x4.5",""
"","","F1","Fuse","device:Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_Schurter_0031_8201",""
"","","F2","Fuse","device:Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_Schurter_0031_8201",""
"","","J1","Conn_01x04","conn:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"","","J2","Conn_01x04","conn:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"","","J3","Conn_01x02","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","J4","Conn_02x20_Odd_Even","conn:Conn_02x20_Odd_Even","Connectors_IDC:IDC-Header_2x20_Pitch2.54mm_Angled",""
"","","J5","Conn_01x02","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","L1","DNP","device:L_Small","coilcraft_IKM:LPS6235",""
"","","L2","SHUNT","device:L_Small","coilcraft_IKM:LPS6235",""
"","","L3","SHUNT","device:L_Small","coilcraft_IKM:LPS6235",""
"","","L4","LPS6235-153","device:L_Small","coilcraft_IKM:LPS6235",""
"","","R1","DNP","device:R","Resistors_SMD:R_0805",""
"","","R2","DNP","device:R","Resistors_SMD:R_0805",""
"","","R3","R","device:R","Resistors_SMD:R_0805",""
"","","R4","SHUNT","device:R","Resistors_SMD:R_1206_HandSoldering",""
"","","R5","SHUNT","device:R","Resistors_SMD:R_1206_HandSoldering",""
"","","U1","MAX17502G","maxim_integrated_IKM:MAX17502","Housings_DFN_QFN:DFN-10-1EP_2x3mm_Pitch0.5mm",""
"","","U2","DNP","maxim_integrated_IKM:MAX17502","Housings_DFN_QFN:DFN-10-1EP_2x3mm_Pitch0.5mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","BB_P8, BB_P9","Conn_02x23_Odd_Even","conn:Conn_02x23_Odd_Even","Pin_Headers:Pin_Header_Straight_2x23_Pitch2.54mm",""
"2","1","C1","2.2uF","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"3","1","C2","1uF","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"4","1","C3","3300pF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"5","1","C4","22uF","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"6","3","C7, C8, C10","DNP","device:C","Capacitors_SMD:C_1210_HandSoldering",""
"7","1","C9","DNP","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"8","2","C19, C24","47uF","device:CP","Capacitors_SMD:CP_Elec_6.3x4.5",""
"9","2","F1, F2","Fuse","device:Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_Schurter_0031_8201",""
"10","2","J1, J2","Conn_01x04","conn:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"11","2","J3, J5","Conn_01x02","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"12","1","J4","Conn_02x20_Odd_Even","conn:Conn_02x20_Odd_Even","Connectors_IDC:IDC-Header_2x20_Pitch2.54mm_Angled",""
"13","1","L1","DNP","device:L_Small","coilcraft_IKM:LPS6235",""
"14","2","L2, L3","SHUNT","device:L_Small","coilcraft_IKM:LPS6235",""
"15","1","L4","LPS6235-153","device:L_Small","coilcraft_IKM:LPS6235",""
"16","2","R1, R2","DNP","device:R","Resistors_SMD:R_0805",""
"17","1","R3","R","device:R","Resistors_SMD:R_0805",""
"18","2","R4, R5","SHUNT","device:R","Resistors_SMD:R_1206_HandSoldering",""
"19","1","U1","MAX17502G","maxim_integrated_IKM:MAX17502","Housings_DFN_QFN:DFN-10-1EP_2x3mm_Pitch0.5mm",""
"20","1","U2","DNP","maxim_integrated_IKM:MAX17502","Housings_DFN_QFN:DFN-10-1EP_2x3mm_Pitch0.5mm",""
